fldID;fldDate;fldIDMatch;fldTournament;fldTeam1;fldTeam2;fldInfo;fldElapsedTime;fldScore1;fldScore2;fldCoef1;fldCoefX;fldCoef2;fldTotal;fldCoefTotalOver;fldYellowCard1;fldYellowCard2;fldRedCard1;fldRedCard2;fldCorner1;fldCorner2;fldShotsOn1;fldShotsOn2;fldShotsOff1;fldShotsOff2;fldAttacks1;fldAttacks2;fldDanAttacks1;fldDanAttacks2;fldPenalty1;fldPenalty2;fldFreeKick1;fldFreeKick2;fldSub1;fldSub2;fldScoreResult1;fldScoreResult2;fldResult
107845;23.10.2022;406780630;Чемпионат Турции. Третья лига;Ени Амасьяспор;Хаджетепе 1945;Чемпионат Турции. Третья лига Ени Амасьяспор Хаджетепе 1945;4755;1;1;5.639999866;1.429999948;5.119999886;2.5;2.775000095;1;1;0;0;4;4;3;1;3;3;72;74;33;43;0;0;17;18;3;3;1;1;0
261430;29.10.2022;408244087;Чемпионат Бельгии. Любительская лига;Гент II;КФК Мандел Юнайтед;Чемпионат Бельгии. Любительская лига Гент II КФК Мандел Юнайтед;4778;1;0;1.049999952;11;34;1.5;2.180000067;0;0;0;0;9;3;1;0;9;2;90;67;48;26;0;0;15;15;0;0;2;0;1
255254;29.10.2022;408203341;Кубок Франции;Ваннес;Конкарно;Кубок Франции Ваннес Конкарно;4751;1;1;8.430000305;1.429999948;3.970000029;2.5;2.619999886;0;3;0;0;1;9;2;2;3;8;47;77;18;36;0;1;9;16;0;0;1;1;0
129900;23.10.2022;406840946;Чемпионат Испании. Третий дивизион RFEF;Кастро;КД Гуарнизо;Чемпионат Испании. Третий дивизион RFEF Кастро КД Гуарнизо;4795;0;0;5.119999886;1.429999948;5.639999866;0.5;2.954999924;2;1;0;0;3;4;2;2;6;9;104;115;48;56;0;0;13;10;3;3;0;0;0
347124;02.11.2022;409079349;Чемпионат Камеруна. Премьер Дивизион;Газелле ФА;Фову Клаб;Чемпионат Камеруна. Премьер Дивизион Газелле ФА Фову Клаб;4777;1;0;1.139999986;6.340000153;29;1.5;2.789999962;1;2;0;1;2;3;3;5;2;5;90;100;58;92;0;0;17;21;3;4;2;0;1
267065;30.10.2022;408308796;Чемпионат Панамы;Спортинг Сан-Мигелито;КА Индепендьенте Ла-Чоррера;Чемпионат Панамы Спортинг Сан-Мигелито КА Индепендьенте Ла-Чоррера;4794;1;1;4.860000134;1.429999948;6;2.5;2.619999886;1;2;0;0;6;5;3;2;5;2;66;53;42;23;0;0;16;16;0;0;1;1;0
21916;21.10.2022;406336796;Чемпионат Бразилии. Лига Минейро. 3-й дивизион;Коимбра;Итабирито;Чемпионат Бразилии. Лига Минейро. 3-й дивизион Коимбра Итабирито;4734;2;1;1.110000014;7.150000095;37;3.5;3.119999886;2;2;0;0;5;0;5;1;2;5;52;64;26;30;1;0;26;10;0;0;3;1;1
64589;22.10.2022;406552986;Чемпионат Англии. Национальная лига;Барнет;Мейденхед Юнайтед;Чемпионат Англии. Национальная лига Барнет Мейденхед Юнайтед;4740;1;1;4.309999943;1.49000001;5.96999979;2.5;2.5;0;3;0;0;5;1;5;4;9;1;56;49;31;19;0;1;19;21;2;1;2;1;1
163092;25.10.2022;407238593;Чемпионат Алжира;АСО;Саура;Чемпионат Алжира АСО Саура;4709;2;1;1.139999986;7.179999828;35;3.5;2.609999895;2;3;0;0;3;2;5;1;2;1;52;55;29;33;0;1;23;25;0;0;2;1;0
28432;22.10.2022;406421763;Чемпионат Мексики. Сегунда;Корас;Эстудиантес Текос;Чемпионат Мексики. Сегунда Корас Эстудиантес Текос;4727;2;2;4.309999943;1.570000052;4.960000038;4.5;2.25;2;2;0;0;7;3;4;3;6;5;97;67;60;43;0;0;28;20;0;0;3;2;1
72796;22.10.2022;406588822;Чемпионат Франции. Националь 2;Сен-Приест;Луан-Кисо;Чемпионат Франции. Националь 2 Сен-Приест Луан-Кисо;4748;1;3;34;21;1.00999999;4.5;2.954999924;4;2;0;0;5;9;2;5;3;4;64;77;26;30;1;1;11;15;0;0;1;3;0
325247;31.10.2022;408684733;Чемпионат Турции. Суперлига;Сивасспор;Антальяспор;Чемпионат Турции. Суперлига Сивасспор Антальяспор;4772;0;2;94;26;1.00999999;2.5;2.470000029;2;1;0;0;2;3;0;4;2;5;93;82;61;47;0;0;13;13;5;2;0;2;0
321704;31.10.2022;408644032;Чемпионат Саудовской Аравии. Дивизион 1;Аль-Оруба Эль-Джауф;Аль Каисома;Чемпионат Саудовской Аравии. Дивизион 1 Аль-Оруба Эль-Джауф Аль Каисома;4740;1;1;3.99000001;1.5;6.619999886;2.5;2.380000114;2;2;0;0;2;2;1;1;4;3;82;55;38;21;0;0;15;8;2;1;1;1;0
81091;22.10.2022;406642699;Чемпионат Бразилии. Серия B;Байя;Вила-Нова Гояния;Чемпионат Бразилии. Серия B Байя Вила-Нова Гояния;4726;1;1;3.160000086;1.519999981;10.5;2.5;2.420000076;1;4;0;0;9;2;3;1;10;2;108;79;57;25;0;0;12;10;5;5;1;1;0
79636;22.10.2022;406630033;Чемпионат Бельгии. Премьер-лига;Юнион Сент-Жилуаз;Брюгге;Чемпионат Бельгии. Премьер-лига Юнион Сент-Жилуаз Брюгге;4705;1;2;67;8.5;1.070000052;3.5;2.150000095;3;2;1;0;4;4;3;2;3;8;51;140;23;54;0;0;12;10;3;3;2;2;1
96491;23.10.2022;406752806;Чемпионат Испании. Второй дивизион RFEF;Райо Кантабрия;Химнастика Торрелавега;Чемпионат Испании. Второй дивизион RFEF Райо Кантабрия Химнастика Торрелавега;4760;0;1;23;4.829999924;1.220000029;1.5;2.619999886;1;3;0;0;6;5;4;4;5;2;105;77;49;21;0;0;24;9;0;0;0;1;0
245243;29.10.2022;408164581;Чемпионат Швеции. Суперэттан;Ютсиктенс;Эстерсунд;Чемпионат Швеции. Суперэттан Ютсиктенс Эстерсунд;4791;3;2;1.159999967;5.409999847;40;5.5;2.079999924;3;1;0;0;7;0;4;3;1;4;71;74;52;51;0;0;10;27;3;4;3;3;1
216886;28.10.2022;407984217;Чемпионат Франции. Женщины;Монпелье (жен);Париж (жен);Чемпионат Франции. Женщины Монпелье (жен) Париж (жен);4762;1;2;25;5.420000076;1.179999948;3.5;2.359999895;2;1;0;0;7;4;2;2;2;3;107;73;63;45;1;0;21;2;2;1;1;3;1
